Document Type,Provider,AHCA Case Number,Formal/Informal Case Number,Date_Rendered
Miscellaneous Orders,Highlands Lake Center LLC,2017012461,,11/15/2017
Miscellaneous Orders,Highlands Lake Center LLC,2017012460,,11/27/2017
Settlement Agreements,Highlands Medical Center,2011012064,,2/2/2012
Defaults and Dismissals,Highlands Medical Center Inc,2013012885,,2/3/2014
Settlement Agreements,Highlands Medical Group,2008007368,,10/7/2008
Settlement Agreements,Highlands Medical Group Lazan,2016006380,16-358PH,1/18/2017
Settlement Agreements,Highlands OBGYN LLC,2014007684,14-329PH,10/6/2014
Settlement Agreements,Highlands Obgyn LLC,2012010825,,11/19/2012
Settlement Agreements,Highlands Ranch Healthcare LLC,2022007302,22-337PH,7/18/2022
Defaults and Dismissals,Highlands Regional Medical Center,100049,,10/13/2008
Settlement Agreements,Highlands Regional Medical Center,2009000785,,9/16/2009
Defaults and Dismissals,Highlands Regional Medical Center,"2009008190, 10-0049",,7/28/2009
Defaults and Dismissals,Highlands Regional Medical Center,CI 00-0471-000,,10/4/2001
Defaults and Dismissals,Highlands Regional Medical Center,2007007995,,9/25/2007
Defaults and Dismissals,Highlands Regional Medical Center,2007007598,,9/25/2007
Settlement Agreements,Highlands Regional Medical Center,Hospital No. 10-0049,,10/5/2004
Defaults and Dismissals,Highlands Regional Medical Center,2007002650,,7/10/2007
Defaults and Dismissals,Highlands Regional Medical Center,2021008216,,7/19/2021
Defaults and Dismissals,Highlands Regional Medical Center,2020013496,,9/1/2020
Settlement Agreements,Highlands Regional Medical Center,2017015221,,4/9/2018
Defaults and Dismissals,Highlands Regional Medical Center,2018011627,,8/14/2018
Defaults and Dismissals,Highlands Regional Medical Center,2018011900,,8/17/2018
Defaults and Dismissals,Highlands Regional Medical Center,2019011170,,7/30/2019
Settlement Agreements,Highlands Regional Medical Center,"15-051-MPF, 2018003844",,1/24/2024
Defaults and Dismissals,Highlands Regional Medical Center,2012007770,,8/6/2012
Defaults and Dismissals,Highlands Regional Medical Center,"2013006836, 2013006826","13-2512CON, 13-2513CON",5/15/2014
Settlement Agreements,Highlands Regional Medical Center,2013000657,,7/31/2013
Defaults and Dismissals,Highlands Regional Medical Center,2013010899,,12/17/2013
Settlement Agreements,Highlands Regional Medical Center,2011010890,,2/10/2012
Defaults and Dismissals,Highlands Regional Medical Center,2011007256,,7/13/2011
Settlement Agreements,Highlands Regional Medical Center,2010003938,,9/1/2010
Defaults and Dismissals,Highlands Regional Medical Center,2010007996,,8/11/2010
Settlement Agreements,Highlands Regional Medical Center,"2013011394, 2014005321",14-3248,11/26/2014
Defaults and Dismissals,Highlands Regional Medical Center,2014009176,,12/3/2014
Defaults and Dismissals,Highlands Regional Medical Center,"2015001367, 2015001363",,3/24/2015
Defaults and Dismissals,Highlands Regional Medical Center,OPX-70,,5/19/2015
Defaults and Dismissals,Highlands Regional Medical Center,2016009121,,4/19/2017
Defaults and Dismissals,Highlands Regional Medical Center,16-08OM,,11/4/2016
Defaults and Dismissals,Highlands Regional Medical Center,2016010203,,11/1/2016
Defaults and Dismissals,Highlands Regional Medical Center,2016008814,,8/9/2016
Defaults and Dismissals,Highlands Regional Medical Center,2017011100,,12/19/2017
Settlement Agreements,Highlands Village,"2006006956, 2006007241","06-3967, 06-3729",4/4/2007
Defaults and Dismissals,Highlands Village,2003007274,,1/14/2004
Emergency Orders,Highlands Village,2006006955,,8/16/2006
Settlement Agreements,Highlands Village,2012002059,,11/6/2012
Defaults and Dismissals,Highlight Home Care,2013004875,,7/23/2013
Defaults and Dismissals,Highline Labs LLC,2017000372,,8/1/2017
Defaults and Dismissals,Highlite Home Care Inc,2011001053,,3/11/2011
Defaults and Dismissals,Highly Favored Homecare LLC,2023008050,,7/5/2023
Settlement Agreements,Highpoint At Cape Coral,2021009651,21-493PH,11/29/2021
Settlement Agreements,Higias Home Health Care Corp,2009002894,09-3518,7/27/2009
Defaults and Dismissals,Higias Home Health Care Corp,2010013307,,1/31/2011
Defaults and Dismissals,Higias Home Health Care Corp,2010008158,,9/21/2010
Settlement Agreements,Hilcrest Retirement ALF Inc dba Hilcrest Retirement Residence,2009010095,09-1147PH,1/12/2011
Defaults and Dismissals,Hilcrest Retirement Residence,2004010542,,2/7/2005
Defaults and Dismissals,Hilcrest Retirement Residence,2002010291,,10/11/2002
Defaults and Dismissals,Hilcrest Retirement Residence,05-01-0312-ALF,,1/31/2002
Emergency Orders,Hilcrest Retirement Residence,2011005162,,5/13/2011
Emergency Orders,Hilcrest Retirement Residence,2011005273,,5/13/2011
Defaults and Dismissals,Hilda Bengochea Corp,2015003994,,8/28/2015
Defaults and Dismissals,Hilda Gonzalez Caraballo,2021-0020378,,6/21/2021
Settlement Agreements,Hilda Home Care,2002000771,,10/22/2002
Settlement Agreements,Hilda Home Care,2011003579,11-306PH,5/23/2011
Settlement Agreements,Hilda Home Care,"2011004350, 2011005969","11-462PH, 11-463PH",12/21/2011
Defaults and Dismissals,Hilda Home Care,CI 13-0984-000,,6/18/2013
Defaults and Dismissals,Hilda M Brito,CI 14-1853-000,,12/31/2014
Defaults and Dismissals,Hildebrando Barreto,CI 14-0902-000,,4/21/2014
Defaults and Dismissals,"Hill Bonds, Janice Kay",CI 10-1115-600,,6/28/2010
Settlement Agreements,Hill Country Toxicology Ltd,2015012792,15-579PH,5/13/2016
Settlement Agreements,Hill Home Healthcare Solutions Inc,2021001927,21-101PH,4/26/2021
Defaults and Dismissals,Hill Orthopedic Center LLC,2024002328,,5/6/2024
Defaults and Dismissals,Hill Orthopedic Center LLC,2024008773,,9/4/2024
Defaults and Dismissals,Hill Orthopedic Center LLC,2016010779,16-477PH,7/10/2017
Defaults and Dismissals,Hill Orthopedic Center LLC,2016011593,16-548PH,11/7/2017
Defaults and Dismissals,Hill Rom Company Inc,2004005379,,11/1/2004
Defaults and Dismissals,Hill Rom Company Inc,2004006176,,11/1/2004
Defaults and Dismissals,Hill Rom Company Inc,2004007771,,11/1/2004
Defaults and Dismissals,Hill Top Research,2008001162,,4/7/2008
Defaults and Dismissals,Hill View Assisted Living,2011011789,,2/8/2012
Defaults and Dismissals,Hill View Assisted Living,2012000193,,5/22/2012
Defaults and Dismissals,Hill View Assisted Living Inc,2021011209,,9/13/2021
Settlement Agreements,Hill View Assisted Living Inc,2019010362,,10/8/2019
Defaults and Dismissals,"Hill, Michelle",CI 10-1115-500,,8/2/2010
Defaults and Dismissals,"Hill, Ruby Dot",2006009783,,2/23/2007
Settlement Agreements,Hillandale,"2005004708, 2005004710","05-2888, 05-2882",12/28/2005
Defaults and Dismissals,Hillandale,2007010822,,1/7/2008
Emergency Orders,Hillandale,2005003042,,5/27/2005
Recommended Orders,Hillandale Assisted Living,"2011006466, 2011006798",11-3721,4/16/2013
Settlement Agreements,Hillandale Assisted Living,"2011006466, 2011006798, 2013005360, 2013011366, 2013012853, 2012010947, 2013010232, 2013010231","11-33721, 13-3111, 13-4783",4/16/2013
Defaults and Dismissals,Hillard Healthcare Inc dba Hillard Manor,,97-6006,7/9/1998
Defaults and Dismissals,Hillcrest Dermatology & Plastic Surgery,2014004035,,6/4/2014
Defaults and Dismissals,Hillcrest Dermatology & Plastic Surgery,2014006985,,8/28/2014
Miscellaneous Orders,Hillcrest Health Care and Rehabilitation Center,2019017617,,1/9/2020
Settlement Agreements,Hillcrest Health Care and Rehabilitation Center,2019000709,,7/29/2019
Settlement Agreements,Hillcrest Health Care and Rehabilitation Center,2019000708,,7/29/2019
Miscellaneous Orders,Hillcrest Health Care and Rehabilitation Center,2019005577,,6/5/2019
Miscellaneous Orders,Hillcrest Health Care and Rehabilitation Center,2018015048,,12/17/2018
Defaults and Dismissals,Hillcrest Health Care and Rehabilitation Center,"2017014519, NH16-131C",,11/2/2018
Settlement Agreements,Hillcrest Health Care and Rehabilitation Center,2020010984,22-0169,4/4/2022
Miscellaneous Orders,Hillcrest Health Care and Rehabilitation Center,2020009787,,8/4/2020
Defaults and Dismissals,Hillcrest Health Care and Rehabilitation Center,"NH21-126M, 2023005207",,3/27/2024
Settlement Agreements,Hillcrest Health Care and Rehabilitation Center,2023003935,,11/14/2023
Miscellaneous Orders,Hillcrest Health Care and Rehabilitation Center,2017013434,,11/29/2017
Settlement Agreements,Hillcrest Health Care And Rehabilitation Center,2015007526,,1/8/2016
Defaults and Dismissals,Hillcrest Nursing And Rehabilitation Center,"2007014024, 2007014025",,3/24/2008
Settlement Agreements,Hillcrest Nursing And Rehabilitation Center,2007013058,,2/15/2008
Settlement Agreements,Hillcrest Nursing And Rehabilitation Center,"2004010029, 2004009452",05-0548,6/14/2005
Defaults and Dismissals,Hillcrest Nursing And Rehabilitation Center,2009008685,,2/19/2010
Defaults and Dismissals,Hillcrest Nursing Home,96-062801-JV,96-1107,4/19/1996
Settlement Agreements,Hillcrest Nursing Home,06-95-114-NH,95-4960,4/19/1996
Defaults and Dismissals,Hillcrest Residential ALF Inc,CI 11-4039-000,,8/30/2011
Settlement Agreements,Hillcrest Retirement Residence,05-95-076-ACLF,95-23PH,7/31/1995
Defaults and Dismissals,Hillcrest Retirement Residence,CI 09-8515-000,,5/14/2009
Settlement Agreements,Hillcrest Retirement Residence,"2011005046, 2011005313, 2011005672, 2011005622","11-3330, 11-3328",12/7/2011
Defaults and Dismissals,"Hillhaven of Central Florida, Inc",,93-6283,1/10/1994
Defaults and Dismissals,Hilliard Dialysis Center LLC,2008001991,,5/7/2008
Settlement Agreements,"Hilliard Healthcare, Inc d/b/a Hilliard Manor; Dunns Creek LTD",NH94-020M; NH94-021M,94-3266; 94-3375,8/23/1995
Settlement Agreements,"Hilliard Healthcare, Inc dba Hilliard Manor",NH95-175M,97-1931,10/26/1999
Settlement Agreements,"Hilliard Healthcare, Inc dba Hilliard Manor",NH95-075M,96-2164,3/12/1998
Settlement Agreements,Hilliard Pharmacy Inc,CI 00-1562-000-3,01-1926,12/6/2002
Defaults and Dismissals,"Hillman, William L",2009003471,,6/9/2009
Defaults and Dismissals,Hills Creek Inc,2018011651,,9/14/2018
Defaults and Dismissals,Hills Helping Hands LLC,2021007581,21-328PH,1/24/2022
Defaults and Dismissals,Hillsboro Management LLC dba Living Legends Retirement Center,2010001997,,8/24/2010
Defaults and Dismissals,Hillsborough Assoc for Retarded CI,CI 10-1096-400,,7/20/2010
Settlement Agreements,Hillsborough Association For Retarded Citizens Inc,CI 11-1554-000,11-5708MPI,7/5/2012
Settlement Agreements,Hillsborough Association For Retarded Citizens Inc,CI 11-1553-000,11-5089MPI,6/25/2012
Defaults and Dismissals,Hillsborough Chiropractic Center Inc,2009001125,,5/11/2009
Defaults and Dismissals,Hillsborough Co Fire Rescue,CI 12-0442-000,,4/23/2013
Defaults and Dismissals,Hillsborough Co Hlth Dept,CI 11-3573-000,,12/22/2011
,Hillsborough County,04-01FO,,9/8/2004
Defaults and Dismissals,Hillsborough County,13-329CB,,4/30/2013
Defaults and Dismissals,Hillsborough County,13-517CB,,6/13/2013
Defaults and Dismissals,Hillsborough County,13-544CB,,6/24/2013
Defaults and Dismissals,Hillsborough County,13-450CB,,5/23/2013
Defaults and Dismissals,Hillsborough County,13-14CB,,2/13/2013
Defaults and Dismissals,Hillsborough County,13-92CB,,3/11/2013
Defaults and Dismissals,Hillsborough County,13-162CB,,3/25/2013
Defaults and Dismissals,Hillsborough County,13-111CB,,3/18/2013
Defaults and Dismissals,Hillsborough County,13-192CB,,3/26/2013
Defaults and Dismissals,Hillsborough County,13-302CB,,4/15/2013
Defaults and Dismissals,Hillsborough County,13-276CB,,4/5/2013
Defaults and Dismissals,Hillsborough County,13-600CB,,7/22/2013
Defaults and Dismissals,Hillsborough County,13-685CB,,8/7/2013
Defaults and Dismissals,Hillsborough County,13-813CB,,9/10/2013
Defaults and Dismissals,Hillsborough County,13-778CB,,9/9/2013
Defaults and Dismissals,Hillsborough County,13-661CB,,8/7/2013
Defaults and Dismissals,Hillsborough County,13-729CB,,8/26/2013
Defaults and Dismissals,Hillsborough County,13-1064CB,,12/10/2013
Defaults and Dismissals,Hillsborough County,13-1019CB,,11/1/2013
Defaults and Dismissals,Hillsborough County,13-939CB,,10/21/2013
Defaults and Dismissals,Hillsborough County,13-867CB,,10/14/2013
Defaults and Dismissals,"Hillsborough County CON LLC, et. al","2015002633, 2015002593, 2015003228","15-1832CON, 15-1833CON, 15-1834CON",6/16/2015
Settlement Agreements,Hillsborough County Development Center,06-92-098-ICF/MR,92-3671,12/30/1992
Defaults and Dismissals,Hillsborough County Development Center,DD10-006C,,12/11/2012
Settlement Agreements,Hillsborough County Developmental Center,2020009093,,8/18/2020
Settlement Agreements,Hillsborough County Health Department,2014009267,14-370PH,2/25/2015
Settlement Agreements,Hillsborough County Health Department STD Clinic,2008013756,,4/3/2009
Defaults and Dismissals,Hillsborough County Health Dept Floyd Kelton Health Center,2010012594,,1/12/2011
Defaults and Dismissals,Hillsborough County Health Dept Joyce Ely Health Center,2010012642,,1/12/2011
Defaults and Dismissals,Hillsborough County Health Dept North Hillsborough Clinic,2010012618,,1/12/2011
Defaults and Dismissals,Hillsborough County Health Dept Plant Clinic,2010012591,,1/12/2011
Defaults and Dismissals,Hillsborough County Health Dept University Area Health Center,2010012652,,1/12/2011
Defaults and Dismissals,Hillsborough County Health Dept-Sulphur Springs Health Center,2010012603,,1/12/2011
Settlement Agreements,Hillsborough County Hospital Authority,,90-7802,2/21/1994
Defaults and Dismissals,Hillsborough County Hospital Authority,,93-0550,4/21/1994
Settlement Agreements,Hillsborough County Hospital Authority d/b/a Tampa,,96-5365,7/18/1997
Miscellaneous Orders,Hillsborough Extended Care,2007013400,,1/2/2008
Settlement Agreements,"Hillsborough Extended Care, LLC","2007012460, 2007012454",,2/21/2008
Defaults and Dismissals,Hillsborough Health Care Staffing LLC,2022014627,,11/17/2022
Defaults and Dismissals,"Hillsborough Healthcare, LTD",,92-2770; 92-2771,12/11/1992
Settlement Agreements,Hillsborough River Health Center,2010009670,10-662PH,11/18/2010
Settlement Agreements,Hillsborough River Health Center Inc,2010013205,11-36PH,2/18/2011
Settlement Agreements,Hillsborough River Health Center Inc,2011006770,11-523PH,8/29/2011
Defaults and Dismissals,Hillside Gardens II,2006009133,,3/7/2007
Defaults and Dismissals,Hillside Gardens II,2023001301,,5/31/2023
Defaults and Dismissals,Hillside Gardens II,2022017076,,3/11/2024
Settlement Agreements,Hillside Gardens II,2013001924,,9/19/2013
Settlement Agreements,"Hillside Gardens, Inc dba Hillside Gardens II",2008011850,08-626PH,2/9/2009
Settlement Agreements,Hilton Professional Health Care LLC,2007005689,07-226PH,3/5/2008
Settlement Agreements,Hina Qureshi LLC,2011009309,,11/8/2011
Defaults and Dismissals,Hingsa Professional Care Services Inc,2012010179,,12/6/2012
Defaults and Dismissals,Hiossen Inc,2011013101,,1/23/2012
Settlement Agreements,"HIP Health Plan of Florida, Inc.",,99-17FO,2/22/2000
Defaults and Dismissals,Hippocrates Medical Center LLC,2024001177,,2/12/2024
Settlement Agreements,"Hiram A Cuevas, MD, PA",2009001206,09-88PH,4/15/2009
Defaults and Dismissals,Hired by Matrix Inc,2025017455,,1/15/2026
Settlement Agreements,Histology Tech Services,2009007419,,8/18/2009
Settlement Agreements,Histopath Lab PA,2009000578,,6/26/2009
Settlement Agreements,Histopath Lab PA,2011011313,,12/14/2011
Settlement Agreements,Histopathology Services LLC,2012000820,,3/27/2012
Settlement Agreements,Histopathology Services LLC,2015008696,15-408PH,7/1/2016
Recommended Orders,HJ Dental Inc,CI 99-0340-000,03-4717MPI,11/4/2004
Defaults and Dismissals,HK Diagnostic Center Inc,2008000357,,4/21/2008
Defaults and Dismissals,HLL of Miami Corp dba Our Mercy Residence,2009000726,,5/27/2009
Defaults and Dismissals,Hlo Medical Service Corp,2004002287,,5/10/2004
Defaults and Dismissals,HLS Laboratories LLC,2015005297,,7/9/2015
Defaults and Dismissals,HMA Bartow Solantic Joint Venture LLC,2011000055,,3/9/2011
Defaults and Dismissals,HMA Santa Rosa Medical Center LLC,16-15OM,,11/4/2016
Defaults and Dismissals,HMA Solantic Joint Venture LLC,2011001993,,4/6/2011
Settlement Agreements,HMA Solantic Joint Venture LLC,2011006025,,8/18/2011
Defaults and Dismissals,HMA Solantic Joint Venture LLC,2011004821,,6/8/2011
Settlement Agreements,HME Medical Inc,CI 11-1123-000,,5/31/2011
Defaults and Dismissals,Hme Sales & Service Inc,2004001237,,4/19/2004
Defaults and Dismissals,HME Sales & Service Inc,2006008489,,1/3/2007
Defaults and Dismissals,HMG Therapeutic Center Inc,2014007400,,9/18/2014
Settlement Agreements,HMP Medical,2003007414,03-339PH,1/27/2004
Defaults and Dismissals,HO Operating Company LLC,CI 11-2402-000,,6/9/2011
Defaults and Dismissals,"HO Operating Company, LLC dba Hidden Oaks Of Fort Myers",2009004219,,9/15/2009
Settlement Agreements,HOA,2008001345,08-71PH,4/1/2008
Settlement Agreements,Hoard Taub Freedman And Rauch MD PA,2008000367,,2/7/2008
Miscellaneous Orders,Hobe Sound Manor,2019020021,,2/7/2020
Miscellaneous Orders,Hobe Sound Manor,2019011657,,9/18/2019
Defaults and Dismissals,"Hodge, Joanne M",CI 01-0462-026,,8/26/2002
Defaults and Dismissals,Hodge's Cluster,DD08-007,,3/9/2012
Defaults and Dismissals,Hodge's Cluster,DR11-19,,3/9/2012
Defaults and Dismissals,Hodge's Cluster,DR11-20,,3/9/2012
Defaults and Dismissals,Hodge's Cluster,DR11-21,,3/9/2012
Defaults and Dismissals,Hodge's Group Home,2018007248,,7/6/2018
Settlement Agreements,Hogar Cristiano La Roca,2021006276,21-325PH,10/26/2021
Settlement Agreements,Hogar Cristiano La Roca,2011010438,,1/10/2012
Defaults and Dismissals,Hogar Cristiano La Roca Inc,CI 09-8517-000,,5/14/2009
Defaults and Dismissals,Hogar Cristiano La Roca Inc,2021003650,,5/7/2021
Defaults and Dismissals,Hogar Cristiano La Roca Inc,CI 12-2695-000,,11/7/2012
Settlement Agreements,"Hogar Cristiano Larga Vida, Inc dba Hogar Cristiano Larga Vida",2009000493,09-73PH,5/27/2009
Settlement Agreements,"Hogar Cristiano Larga Vida, Inc dba Hogar Cristiano Larga Vida",2009001114,09-649PH,9/15/2009
Defaults and Dismissals,"Hogar Cristiano Larga Vida, Inc.",2007000387,,3/29/2007
Settlement Agreements,"Hogar Cristiano Larga Vida, Inc.",2006003142,06-131PH,9/5/2006
Defaults and Dismissals,Hogar Cristiano Mis Abuelitos,2002049074,,1/9/2003
Settlement Agreements,Hogar De Abuelos,CI 13-0733-000,,6/13/2013
Defaults and Dismissals,Hogar De Abuelos Inc,2018013082,,11/27/2018
Defaults and Dismissals,Hogar De Abuelos Inc,2018016202,,4/1/2019
Defaults and Dismissals,Hogar De Amable Consuelo Corp,2020001768,,10/1/2020
Defaults and Dismissals,Hogar De Amable Consuelo Corp,2021012100,21-566PH,1/24/2022
Defaults and Dismissals,Hogar De Amable Consuelo Corp,2015007834,,11/17/2016
Defaults and Dismissals,Hogar De Amable Consuelo Corporation,2021014225,,11/19/2021
Defaults and Dismissals,Hogar De Corazones LLC,2021015443,,12/13/2021
Defaults and Dismissals,Hogar Dulce Hogar,2021007213,,7/2/2021
Settlement Agreements,Hogar Dulce Hogar,2019002809,19-347PH,7/30/2019
Defaults and Dismissals,Hogar Dulce Hogar,2013000953,,8/26/2013
Settlement Agreements,Hogar La 3rd Edad Corp,2007013628,08-107PH,6/18/2008
Defaults and Dismissals,Hogar La Tercera Edad,11-01-038-ADC,01-29PH,4/9/2001
Defaults and Dismissals,Hogar La Tercera Edad Corp,200105764,,10/18/2002
Defaults and Dismissals,"Holden Heights Rcf, Inc.",2004006056,,10/7/2004
Settlement Agreements,Holden Heights Residential Care Facility,2002046636,02-229PH,1/16/2003
Defaults and Dismissals,Holden Heights Residential Care Facility Inc,2002018311,02-125PH,5/14/2003
Settlement Agreements,Holden Heights Residential Care Facility Inc,2001064191,,7/25/2002
Defaults and Dismissals,Holding Fate Services LLC,2025-000000227,,1/20/2026
Defaults and Dismissals,Holding Fate Services LLC,2025-000000500,,1/20/2026
Defaults and Dismissals,Holding Fate Services LLC,2025-000000502,,1/20/2026
Defaults and Dismissals,Holding Fate Services LLC,2025-000000501,,1/20/2026
Defaults and Dismissals,Holding Hands Florida LLC,"2023-000018535, 2022-0022215",,11/20/2023
Settlement Agreements,Holguin Pharmacy,CI 00-1917-000,05-1521MPI,6/20/2006
Settlement Agreements,Holiday Care Center,2002046075,02-3507,4/10/2003
Recommended Orders,Holiday Care Center,04-98-001-NH,98-2152,3/11/1999
Defaults and Dismissals,Holiday CVS LLC,2018-0013648,,4/16/2019
Defaults and Dismissals,Holiday CVS LLC,2017-0007857,,10/19/2018
Defaults and Dismissals,Holiday CVS LLC,CI 13-2186-000,,12/3/2013
Defaults and Dismissals,Holiday CVS LLC,CI 13-2165-000,,12/3/2013
Defaults and Dismissals,Holiday CVS LLC,CI 13-2286-000,,12/3/2013
Defaults and Dismissals,Holiday CVS LLC,CI 13-2188-000,,12/18/2013
Defaults and Dismissals,Holiday CVS LLC,CI 13-2285-000,,12/18/2013
Defaults and Dismissals,Holiday CVS LLC,CI 13-2189-000,,12/18/2013
Defaults and Dismissals,Holiday CVS LLC,CI 13-2171-000,,12/18/2013
Defaults and Dismissals,Holiday CVS LLC,CI 13-2163-000,,12/18/2013
Settlement Agreements,Holiday Surgery Center,2019011139,19-399PH,10/9/2019
Defaults and Dismissals,Holiday Woodlands Village,"2024002273, 2024005656",,6/10/2024
Defaults and Dismissals,Holiday Woodlands Village,2024010219,,2/24/2025
Settlement Agreements,Holistic Care Resources LLC,2022010428,22-433PH,9/23/2022
Defaults and Dismissals,Holistic Family Medicine LLC,2009005714,,10/8/2009
Recommended Orders,Holistic Health Care,2001008621,01-47PH,2/20/2003
Settlement Agreements,Holistic Health Care,2012010694,13-1285,4/23/2013
Settlement Agreements,Holistic Home Health Care Corp,2014001802,14-109PH,6/17/2014
Settlement Agreements,Holistic Home Health Care Corp,2011012013,11-6209,1/5/2012
Settlement Agreements,Holistic Home Health Care Corp,2010009175,10-612PH,11/29/2010
Settlement Agreements,Holistic Home Health Care Corp,2014010099,,2/16/2015
Defaults and Dismissals,Holistic Home Health Care Corp,2015006806,,10/21/2015
Defaults and Dismissals,Holistic Medical Institute Inc,2014001200,14-79PH,5/9/2014
Defaults and Dismissals,Holistic Medical Services & Equipment Inc,2010001342,,5/28/2010
Defaults and Dismissals,Holistic Nursing Care Agency Inc,2014001805,,4/21/2014
Defaults and Dismissals,Holistic Nursing Care Agency Inc,2014006685,,11/5/2014
Defaults and Dismissals,Holistic Pediatrics Group LLC dba Holistic Pediatrics,2008001478,,6/30/2009
Defaults and Dismissals,Holistic South Pregnancy & Birth Center,2025012367,,9/29/2025
Defaults and Dismissals,Holistic South Pregnancy & Birth Center LLC,2020010830,,10/1/2020
Defaults and Dismissals,Holistic South Pregnancy & Birth Center LLC,2019009416,,4/14/2020
Settlement Agreements,Holistic South Pregnancy & Birth Center LLC,2015002701,,4/8/2015
Settlement Agreements,Holistic South Pregnancy & Birth Center LLC,2015011683,15-540PH,2/1/2016
Defaults and Dismissals,Holistic South Pregnancy and Birth Center LLC,2018007393,,3/11/2019
Defaults and Dismissals,Holistic South Pregnancy and Birth Center LLC,2017011533,,12/22/2017
Defaults and Dismissals,Holistic Therapy Solutions Inc,2017-0007707,,4/15/2019
Defaults and Dismissals,Holistic Therapy Solutions Inc,2017-0007758,,4/15/2019
Defaults and Dismissals,Holistick IV,2025005774,25-355PH,8/18/2025
Defaults and Dismissals,Holistixx Health Services Inc,2021010630,,9/3/2021
Defaults and Dismissals,Holladay Child Development Services,2017-0008532,,10/19/2018
Defaults and Dismissals,Holland Oaks ALF,2014011912,,2/12/2015
Settlement Agreements,Holland Oaks ALF,2011002958,,4/18/2011
Defaults and Dismissals,Holland Oaks ALF,2011004257,,7/27/2011
Settlement Agreements,Holley Mouling,2020-0020184,,6/21/2021
Defaults and Dismissals,Holley Mouling,2023010094,,8/21/2023
Defaults and Dismissals,Hollins Care Services LLC,2024005791,24-226PH,5/13/2024
Defaults and Dismissals,Holly Aldrich,2025-000000287,,9/15/2025
Defaults and Dismissals,Holly Anne Hubbard,CI 12-1312-000,,3/12/2012
Defaults and Dismissals,Holly Care & Diagnostics Corp,2006006565,,2/16/2007
Defaults and Dismissals,Holly Care & Diagnostics Corp,2004005435,,11/1/2004
Defaults and Dismissals,Holly Heights Manor,2004001315,,6/18/2004
Settlement Agreements,Holly Heights Manor,"2002014711, 10-00-081 ALF",,4/15/2002
Settlement Agreements,Holly Heights Manor,10-99-124ALF,99-3485,3/9/2000
Recommended Orders,Holly Heights Manor,10-94-102-ACLF,94-5193,5/11/1995
Recommended Orders,Holly Hill Care Center,04-00-017-ALF,00-2973,9/26/2001
Recommended Orders,Holly Hill Care Center,04-97-024-ALF,98-0414,4/7/1999
Defaults and Dismissals,Holly Hill Care Center,2003001970,,12/16/2003
Settlement Agreements,Holly Hill Pharmacy Home Infusion Services,2019015266,19-547PH,2/11/2020
Settlement Agreements,"Holly Hill RHF Housing, Inc, dba Bishop's Glen Care Center",NH 94-155M; NH 94-153M,95-0850; 95-0851,7/24/1996
Defaults and Dismissals,Holly K Ritch MD,CI 08-6730-000,,5/19/2008
Settlement Agreements,Hollywood Beach Ret. Home,2006008571,06-392PH,4/4/2007
Defaults and Dismissals,Hollywood Beach Ret. Home,2004008932,,3/16/2005
Defaults and Dismissals,Hollywood Beach Retirement,CI 12-1471-000,,10/29/2013
Settlement Agreements,Hollywood Diagnosict Center,2010010098,,11/10/2010
Settlement Agreements,Hollywood Diagnostics Center,2005009417,,3/24/2006
Defaults and Dismissals,Hollywood Discount Pharmacy Inc,2017-0007610,,2/12/2018
Settlement Agreements,Hollywood Discount Pharmacy Inc,CI 14-0555-000,14-3728MPI,10/29/2014
Defaults and Dismissals,"Hollywood Discount Pharmacy, Inc",CI 08-6624-000,,6/17/2008
Settlement Agreements,Hollywood Hills Nursing Home,2001076571,02-183PH,11/15/2002
Defaults and Dismissals,Hollywood Hills Nursing Home,2002000021,,8/28/2002
Settlement Agreements,Hollywood Hills Nursing Home dba Hollywood Hills Nursing Home,NH97-006R,98-2798,12/14/1998
Defaults and Dismissals,Hollywood Hills Operator LLC,2015003881,,8/6/2015
Settlement Agreements,Hollywood Hills Rehabilitation Center,10-08TPL,,3/12/2010
Defaults and Dismissals,Hollywood Hills Rehabilitation Center,CI 13-0397-000,12-611PH,5/6/2013
Settlement Agreements,Hollywood Hills Rehabilitation Center LLC,NH07-058J,,5/20/2011
Settlement Agreements,Hollywood Hills Rehabilitation Center LLC,2014000953,14-4352,8/31/2015
Defaults and Dismissals,"Hollywood Injury Rehabilitation Center, Inc",2009011142,,12/22/2009
Defaults and Dismissals,Hollywood Manor Assisted Living Inc,2018011304,,9/24/2018
Defaults and Dismissals,Hollywood Manor Assisted Living Inc,2021016670,,1/5/2022
Defaults and Dismissals,Hollywood Manor Assisted Living Inc,CI 12-1644-000,,4/10/2012
Defaults and Dismissals,Hollywood Medical Center,HR93-168,94-97PH,10/20/1995
Defaults and Dismissals,Hollywood Medical Center,2007009299,,3/5/2008
Defaults and Dismissals,Hollywood Medical Center,2007000627,,6/19/2007
Defaults and Dismissals,Hollywood Medical Center Inc,2007000821,,1/29/2007
Defaults and Dismissals,Hollywood Paradise Residence Inc,2017006113,,8/1/2017
Defaults and Dismissals,Hollywood Pavilion,2010000075,,1/12/2010
Defaults and Dismissals,Hollywood Pavilion,"2009001358, 10-4015",,5/21/2009
Defaults and Dismissals,Hollywood Pavilion,"2009002047, 10-4015",,5/21/2009
Defaults and Dismissals,Hollywood Pavilion,2016001209,,6/14/2016
